[2025-12-01 16:48:34.348061] [tm_devices] [   DEBUG] timezone==Europe/Paris
[2025-12-01 16:48:34.348061] [tm_devices] [   DEBUG] tm_devices==3.4.0
[2025-12-01 16:48:34.348061] [tm_devices] [    INFO] Opening DeviceManager
[2025-12-01 16:48:34.353278] [tm_devices] [    INFO] Creating Connection to SCOPE 1 "SCOPE1"
[2025-12-01 16:48:34.396547] [tm_devices] [ WARNING] 
The device `TCPIP0::10.59.31.94::inst0::INSTR` had data sitting in the VISA Output Buffer on first connection. 
Detected data in the buffer via the Status Byte register. 
The device_clear() will be called so VISA I/O buffers get flushed.
[2025-12-01 16:48:34.401082] [tm_devices] [   DEBUG] SCOPE "SCOPE1" VISA timeout set to: 5000.000ms
[2025-12-01 16:48:34.401082] [tm_devices] [   DEBUG] (SCOPE "SCOPE1") Write >>  'HEADER OFF'
[2025-12-01 16:48:34.401082] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*IDN?'
[2025-12-01 16:48:34.401082] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,MSO58,C017019,CF:91.1CT FV:1.22.4.7207'
[2025-12-01 16:48:35.725913] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'TRIGger:A:TYPe EDGE'
[2025-12-01 16:48:35.725913] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'TRIGGER:A:LEVEL 1.0'
[2025-12-01 16:48:35.725913] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'TRIGGER:A:EDGE:SOURCE CH1'
[2025-12-01 16:48:35.725913] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'SELECT:CH1 ON'
[2025-12-01 16:48:35.725913] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*IDN?'
[2025-12-01 16:48:35.748602] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,MSO58,C017019,CF:91.1CT FV:1.22.4.7207'
[2025-12-01 16:48:35.748602] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DISplay:WAVEView1:CHCH1:STATE ON'
[2025-12-01 16:48:35.756648] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CHCH1:SCAle 1'
[2025-12-01 16:48:35.756648] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CHCH1:POSition 1'
[2025-12-01 16:48:35.758657] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'SELECT:CH2 ON'
[2025-12-01 16:48:35.758657] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DISplay:WAVEView1:CHCH2:STATE ON'
[2025-12-01 16:48:35.758657] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CHCH2:SCAle 1'
[2025-12-01 16:48:35.758657] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CHCH2:POSition 1'
[2025-12-01 16:48:35.764665] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQuire:STATE OFF'
[2025-12-01 16:48:35.765666] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQuire:MODe SAMPLE'
[2025-12-01 16:48:35.766663] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQuire:STOPAfter SEQUENCE'
[2025-12-01 16:48:35.768113] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'HOR:MODE MANUAL'
[2025-12-01 16:48:35.768113] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'HOR:MAIN:SCALE 1.0'
[2025-12-01 16:48:35.768113] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:SOURCE CH1'
[2025-12-01 16:48:35.768113] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:ENC SRIbinary'
[2025-12-01 16:48:35.768113] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:WIDTH 2'
[2025-12-01 16:48:35.768113] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQ:STOPAfter SEQ'
