,t,ch1
0,0.0,-0.0285
1,3.2e-09,-0.0268
2,6.4e-09,-0.0224
3,9.6e-09,-0.0273
4,1.28e-08,-0.038200000000000005
5,1.6e-08,-0.0186
6,1.92e-08,-0.0304
7,2.2400000000000002e-08,-0.0263
8,2.56e-08,-0.0313
9,2.88e-08,-0.027
10,3.2e-08,-0.009000000000000001
11,3.5200000000000004e-08,-0.0191
12,3.84e-08,-0.0149
13,4.16e-08,-0.0261
14,4.4800000000000004e-08,-0.011800000000000001
15,4.8e-08,-0.0347
16,5.12e-08,-0.0262
17,5.4400000000000004e-08,-0.0229
18,5.76e-08,-0.013500000000000002
19,6.08e-08,-0.0214
20,6.4e-08,-0.0161
21,6.72e-08,-0.0228
22,7.040000000000001e-08,-0.019
23,7.36e-08,-0.027600000000000003
24,7.68e-08,-0.028600000000000004
25,8e-08,-0.0253
26,8.32e-08,-0.0177
27,8.64e-08,-0.008800000000000002
28,8.960000000000001e-08,-0.034100000000000005
29,9.28e-08,-0.022
30,9.6e-08,-0.007
31,9.92e-08,-0.0172
32,1.024e-07,-0.011699999999999999
33,1.056e-07,-0.0175
34,1.0880000000000001e-07,-0.0144
35,1.1200000000000001e-07,-0.0246
36,1.152e-07,-0.0245
37,1.184e-07,-0.0174
38,1.216e-07,-0.012899999999999998
39,1.248e-07,-0.0237
40,1.28e-07,-0.0061
41,1.312e-07,-0.0228
42,1.344e-07,-0.021500000000000002
43,1.3760000000000001e-07,-0.0148
44,1.4080000000000002e-07,-0.0115
45,1.44e-07,-0.0176
46,1.472e-07,-0.024
47,1.504e-07,-0.0102
48,1.536e-07,-0.0158
49,1.568e-07,-0.0126
50,1.6e-07,-0.0177
51,1.632e-07,-0.0177
52,1.664e-07,-0.0142
53,1.696e-07,-0.0207
54,1.728e-07,-0.0219
55,1.7600000000000001e-07,0.0004999999999999996
56,1.7920000000000002e-07,-0.0183
57,1.8240000000000002e-07,-0.005400000000000001
58,1.856e-07,-0.007400000000000001
59,1.888e-07,-0.003700000000000001
60,1.92e-07,-0.0154
61,1.952e-07,-0.0208
62,1.984e-07,-0.018
63,2.016e-07,-0.005200000000000001
64,2.048e-07,-0.009500000000000001
65,2.08e-07,-0.035
66,2.112e-07,-0.0161
67,2.1440000000000001e-07,-0.0131
68,2.1760000000000002e-07,-0.013399999999999999
69,2.2080000000000002e-07,-0.0116
70,2.2400000000000002e-07,-0.0044
71,2.272e-07,-0.0132
72,2.304e-07,-0.008800000000000002
73,2.336e-07,-0.009400000000000002
74,2.368e-07,-0.0168
75,2.4000000000000003e-07,-0.0102
76,2.432e-07,-0.0126
77,2.464e-07,-0.0047
78,2.496e-07,-0.0017000000000000001
79,2.528e-07,-0.0032000000000000006
80,2.56e-07,-0.012
81,2.592e-07,-0.011699999999999999
82,2.624e-07,-0.0199
83,2.656e-07,-0.0008000000000000004
84,2.688e-07,-0.0064
85,2.72e-07,-0.0185
86,2.7520000000000003e-07,-0.0098
87,2.784e-07,-0.0067
88,2.8160000000000003e-07,-0.0104
89,2.848e-07,-0.0171
90,2.88e-07,-0.008900000000000002
91,2.912e-07,-0.0033
92,2.944e-07,-0.0103
93,2.976e-07,0.0037
94,3.008e-07,-0.0019000000000000006
95,3.04e-07,-0.0027
96,3.072e-07,-0.007100000000000001
97,3.1040000000000003e-07,-0.003700000000000001
98,3.136e-07,-0.0109
99,3.1680000000000003e-07,-0.0081
100,3.2e-07,-0.0194
101,3.2320000000000004e-07,0.0097
102,3.264e-07,0.0031999999999999997
103,3.296e-07,-0.008400000000000001
104,3.328e-07,0.001
105,3.36e-07,-0.001
106,3.392e-07,-0.009600000000000001
107,3.424e-07,0.0034000000000000002
108,3.456e-07,-0.0015000000000000005
109,3.488e-07,0.0077
110,3.5200000000000003e-07,-0.0078000000000000005
111,3.552e-07,-0.0039
112,3.5840000000000003e-07,0.0023
113,3.616e-07,0.0043
114,3.6480000000000004e-07,-0.0022000000000000006
115,3.68e-07,0.0104
116,3.712e-07,0.013500000000000002
117,3.744e-07,0.0183
118,3.776e-07,-0.0047
119,3.808e-07,-0.003700000000000001
120,3.84e-07,0.0007999999999999995
121,3.872e-07,0.006200000000000001
122,3.904e-07,-0.0025000000000000005
123,3.9360000000000003e-07,0.0075
124,3.968e-07,-0.004600000000000001
125,4.0000000000000003e-07,-0.0015000000000000005
126,4.032e-07,0.0025
127,4.0640000000000004e-07,-0.0139
128,4.096e-07,0.0045000000000000005
129,4.128e-07,-0.0081
130,4.16e-07,-0.007100000000000001
131,4.192e-07,0.009500000000000001
132,4.224e-07,-0.00010000000000000026
133,4.256e-07,0.0002999999999999999
134,4.2880000000000003e-07,-0.0047
135,4.32e-07,0.0036
136,4.3520000000000003e-07,0.0046
137,4.384e-07,0.006200000000000001
138,4.4160000000000004e-07,0.0164
139,4.448e-07,0.0064
140,4.4800000000000004e-07,0.0026
141,4.512e-07,0.007
142,4.544e-07,-0.0008999999999999998
143,4.576e-07,0.0018999999999999998
144,4.608e-07,-0.0027
145,4.64e-07,-0.0032000000000000006
146,4.672e-07,-0.0038000000000000004
147,4.7040000000000003e-07,-0.0015000000000000005
148,4.736e-07,0.0008999999999999998
149,4.7680000000000003e-07,0.0106
150,4.800000000000001e-07,0.0035
151,4.832e-07,0.0015
152,4.864e-07,0.0015
153,4.896e-07,0.0064
154,4.928e-07,0.0055
155,4.96e-07,-0.005700000000000001
156,4.992e-07,-0.00010000000000000026
157,5.024e-07,0.011200000000000002
158,5.056e-07,0.0046
159,5.088e-07,-0.0033
160,5.12e-07,0.0158
161,5.152000000000001e-07,0.005
162,5.184e-07,0.0074
163,5.216e-07,-0.0004000000000000002
164,5.248e-07,0.0063
165,5.280000000000001e-07,-0.0022000000000000006
166,5.312e-07,0.0092
167,5.344e-07,0.0063
168,5.376e-07,0.0105
169,5.408e-07,0.0049
170,5.44e-07,0.009600000000000001
171,5.472e-07,0.018600000000000002
172,5.504000000000001e-07,0.0067
173,5.536e-07,0.0198
174,5.568e-07,0.0166
175,5.6e-07,0.0125
176,5.632000000000001e-07,0.0069
177,5.664e-07,0.011800000000000001
178,5.696e-07,0.0004999999999999996
179,5.728e-07,0.0198
180,5.76e-07,0.0008999999999999998
181,5.792e-07,0.0037
182,5.824e-07,0.013500000000000002
183,5.856000000000001e-07,0.0116
184,5.888e-07,0.0004999999999999996
185,5.92e-07,0.015700000000000002
186,5.952e-07,0.0097
187,5.984000000000001e-07,0.010700000000000001
188,6.016e-07,0.0098
189,6.048e-07,0.0155
190,6.08e-07,0.0165
191,6.112000000000001e-07,0.0187
192,6.144e-07,0.0031999999999999997
193,6.176e-07,0.0008999999999999998
194,6.208000000000001e-07,0.0086
195,6.24e-07,0.0138
196,6.272e-07,0.0161
197,6.304e-07,0.0051
198,6.336000000000001e-07,0.0162
199,6.368e-07,0.0069
200,6.4e-07,0.0079
201,6.432e-07,0.02
202,6.464000000000001e-07,0.0193
203,6.496e-07,0.013400000000000002
204,6.528e-07,0.0138
205,6.56e-07,0.0052
206,6.592e-07,0.009000000000000001
207,6.624e-07,0.021300000000000003
208,6.656e-07,0.0204
209,6.688000000000001e-07,0.018600000000000002
210,6.72e-07,0.0168
211,6.752e-07,0.0007999999999999995
212,6.784e-07,0.0121
213,6.816000000000001e-07,0.0211
214,6.848e-07,0.0123
215,6.88e-07,0.0273
216,6.912e-07,0.0119
217,6.944000000000001e-07,0.0105
218,6.976e-07,0.0171
219,7.008e-07,0.0108
220,7.040000000000001e-07,0.019100000000000002
221,7.072e-07,0.023100000000000002
222,7.104e-07,0.017400000000000002
223,7.136e-07,0.0092
224,7.168000000000001e-07,0.014600000000000002
225,7.2e-07,0.0056
226,7.232e-07,0.0182
227,7.264e-07,0.0139
228,7.296000000000001e-07,0.0268
229,7.328e-07,0.016300000000000002
230,7.36e-07,0.0189
231,7.392000000000001e-07,0.0179
232,7.424e-07,0.0424
233,7.456e-07,0.019700000000000002
234,7.488e-07,0.0198
235,7.520000000000001e-07,0.015200000000000002
236,7.552e-07,0.0138
237,7.584e-07,0.0075
238,7.616e-07,0.022600000000000002
239,7.648000000000001e-07,0.0166
240,7.68e-07,0.0126
241,7.712e-07,0.027600000000000003
242,7.744e-07,0.028
243,7.776000000000001e-07,0.018600000000000002
244,7.808e-07,0.0175
245,7.84e-07,0.023200000000000002
246,7.872000000000001e-07,0.015
247,7.904e-07,0.026000000000000002
248,7.936e-07,0.011200000000000002
249,7.968e-07,0.0262
250,8.000000000000001e-07,0.0363
251,8.032e-07,0.009600000000000001
252,8.064e-07,0.0307
253,8.096e-07,0.024
254,8.128000000000001e-07,0.016900000000000002
255,8.16e-07,0.020300000000000002
256,8.192e-07,0.029800000000000004
257,8.224000000000001e-07,0.0315
258,8.256e-07,0.0273
259,8.288e-07,0.022400000000000003
260,8.32e-07,0.0307
261,8.352000000000001e-07,0.0341
262,8.384e-07,0.0164
263,8.416e-07,0.0245
264,8.448e-07,0.0286
265,8.480000000000001e-07,0.028100000000000003
266,8.512e-07,0.025
267,8.544e-07,0.0315
268,8.576000000000001e-07,0.032
269,8.608e-07,0.0279
270,8.64e-07,0.0257
271,8.672e-07,0.02
272,8.704000000000001e-07,0.030400000000000003
273,8.736e-07,0.019200000000000002
274,8.768e-07,0.027500000000000004
275,8.8e-07,0.0346
276,8.832000000000001e-07,0.038
277,8.864e-07,0.0325
278,8.896e-07,0.0346
279,8.928000000000001e-07,0.0331
280,8.960000000000001e-07,0.026400000000000003
281,8.992e-07,0.031100000000000003
282,9.024e-07,0.0409
283,9.056000000000001e-07,0.024100000000000003
284,9.088e-07,0.025300000000000003
285,9.12e-07,0.0461
286,9.152e-07,0.0399
287,9.184000000000001e-07,0.034
288,9.216e-07,0.040799999999999996
289,9.248e-07,0.0357
290,9.28e-07,0.033800000000000004
291,9.312000000000001e-07,0.029200000000000004
292,9.344e-07,0.025400000000000002
293,9.376e-07,0.0291
294,9.408000000000001e-07,0.0185
295,9.44e-07,0.0296
296,9.472e-07,0.0388
297,9.504e-07,0.032100000000000004
298,9.536000000000001e-07,0.0314
299,9.568e-07,0.0363
300,9.600000000000001e-07,0.039099999999999996
301,9.632e-07,0.039099999999999996
302,9.664e-07,0.0443
303,9.696e-07,0.020900000000000002
304,9.728e-07,0.0436
305,9.76e-07,0.0422
306,9.792e-07,0.0385
307,9.824000000000001e-07,0.0307
308,9.856e-07,0.031200000000000002
309,9.888e-07,0.047599999999999996
310,9.92e-07,0.0386
311,9.952e-07,0.0256
312,9.984e-07,0.0359
313,1.0016e-06,0.034300000000000004
314,1.0048e-06,0.031000000000000003
315,1.0080000000000001e-06,0.0342
316,1.0112e-06,0.0378
317,1.0144e-06,0.0392
318,1.0176e-06,0.0339
319,1.0208e-06,0.0352
320,1.024e-06,0.0361
321,1.0272e-06,0.0262
322,1.0304000000000001e-06,0.0377
323,1.0336e-06,0.0395
324,1.0368e-06,0.04
325,1.04e-06,0.030400000000000003
326,1.0432e-06,0.0353
327,1.0464e-06,0.0365
328,1.0496e-06,0.040799999999999996
329,1.0528000000000001e-06,0.045899999999999996
330,1.0560000000000001e-06,0.0377
331,1.0592e-06,0.044199999999999996
332,1.0624e-06,0.0451
333,1.0656e-06,0.0455
334,1.0688e-06,0.0595
335,1.072e-06,0.0317
336,1.0752e-06,0.0462
337,1.0784000000000001e-06,0.0477
338,1.0816e-06,0.0291
339,1.0848e-06,0.0463
340,1.088e-06,0.0411
341,1.0912e-06,0.0438
342,1.0944e-06,0.0418
343,1.0976e-06,0.028200000000000003
344,1.1008000000000001e-06,0.0363
345,1.1040000000000001e-06,0.0387
346,1.1072e-06,0.047599999999999996
347,1.1104e-06,0.053899999999999997
348,1.1136e-06,0.0393
349,1.1168e-06,0.0447
350,1.12e-06,0.0399
351,1.1232e-06,0.0418
352,1.1264000000000001e-06,0.0475
353,1.1296e-06,0.036699999999999997
354,1.1328e-06,0.0381
355,1.136e-06,0.0545
356,1.1392e-06,0.035
357,1.1424e-06,0.0484
358,1.1456e-06,0.0398
359,1.1488000000000001e-06,0.032
360,1.152e-06,0.0518
361,1.1552e-06,0.0439
362,1.1584e-06,0.052
363,1.1616e-06,0.0515
364,1.1648e-06,0.0421
365,1.168e-06,0.0496
366,1.1712000000000001e-06,0.0451
367,1.1744000000000001e-06,0.0511
